,temperature
389,25.012166666666666
390,24.27466666666667
391,23.694333333333336
392,23.141
393,22.730166666666666
394,22.29683333333333
395,22.0006
396,21.767804878048786
397,21.86
398,21.71185185185185
399,21.62
400,22.30333333333333
401,23.80684210526316
402,24.970333333333333
403,25.56625
404,25.35333333333333
405,25.63172413793104
406,25.602692307692305
407,25.623043478260872
408,25.736666666666668
409,25.886774193548387
410,25.725263157894734
411,25.32
412,25.368
413,25.34130434782609
414,25.34
415,25.228214285714284
416,24.91483870967742
417,24.417142857142856
418,24.017297297297297
419,23.72684210526316
420,23.438529411764705
421,23.246129032258064
422,23.063529411764705
423,23.008846153846157
424,23.29967741935484
425,24.479047619047616
426,25.90875
427,26.359523809523807
428,26.47
429,26.614615384615384
430,26.68185185185185
431,26.68527777777778
432,26.621315789473684
433,26.63372549019608
434,26.55
435,26.37625
436,26.14837209302326
437,25.563
438,24.439230769230768
439,23.82
440,23.410454545454545
441,23.1046511627907
442,22.82444444444444
443,22.75186046511628
444,22.43857142857143
445,22.151136363636365
446,21.93525
447,22.08
448,23.14268292682927
449,23.0290625
450,23.465416666666663
451,23.61311111111111
452,23.38157894736842
453,23.15
454,23.097073170731708
455,23.03090909090909
456,22.822564102564105
457,22.77973684210526
458,22.56372093023256
459,22.382571428571428
460,22.24025
461,22.14717948717949
462,22.020238095238096
463,21.906046511627903
464,21.816315789473684
465,21.705777777777776
466,21.60775
467,21.52054054054054
468,21.42452380952381
469,21.36809523809524
470,21.29022727272727
471,21.289523809523807
472,21.418636363636363
473,21.55972222222222
474,22.099512195121957
475,22.415365853658532
476,22.63088235294118
477,22.695263157894736
478,22.51333333333333
479,22.453225806451616
480,22.42692307692308
481,22.261578947368424
482,22.089
483,22.013636363636365
484,21.96684210526316
485,21.91170731707317
486,21.85688888888889
487,21.790769230769232
488,21.6472972972973
489,21.54138888888889
490,21.45173913043478
491,21.381086956521735
492,21.286585365853657
493,21.23692307692308
494,21.24853658536585
495,21.33815789473684
496,22.397105263157897
497,24.59974358974359
498,25.09851851851852
499,25.14538461538461
500,25.427692307692308
501,25.49866666666667
502,25.59825
503,25.7478125
504,25.786363636363635
505,25.5825
506,25.514193548387095
507,25.426046511627906
508,25.405348837209303
509,25.42619047619048
510,25.46305555555556
511,25.40818181818182
512,24.870731707317077
513,24.383958333333336
514,24.055434782608696
515,23.79325581395349
516,23.613636363636363
517,23.496222222222222
518,23.35425
519,23.234878048780487
520,23.275
521,24.332857142857144
522,25.43720930232558
523,26.42129032258064
524,26.780967741935484
525,26.818285714285715
526,26.845675675675675
